CARS,HHSPTYPE,TENURE,PERSINHH,ECONPRIM,ETHGROUP,LTILL,MSTATUS,OCCPATN,SEX,SOCLASS,SEGROUP
2,3,2,5,1,1,2,2,4,1,2,1
3,2,2,5,1,1,1,2,4,1,2,4
1,2,1,2,8,1,1,2,4,1,2,4
2,2,2,2,1,1,2,2,4,1,2,4
2,1,2,3,1,1,2,2,4,1,2,4
3,2,1,4,1,1,2,1,4,2,2,4
2,1,2,4,1,1,2,2,4,1,2,4
2,1,2,4,1,1,2,3,4,1,2,4
2,3,2,2,1,1,1,3,4,1,2,1
2,3,2,4,1,1,2,2,4,1,2,4
1,3,1,2,1,1,2,1,4,1,2,1
2,2,2,2,6,1,2,3,4,1,2,4
1,6,2,1,1,1,2,1,4,1,2,4
3,1,2,4,1,1,2,2,4,1,2,1
2,1,2,4,1,1,2,2,4,1,2,1
1,2,7,4,1,1,2,2,4,1,2,1
2,1,2,2,1,1,2,3,4,1,2,1
2,1,1,2,1,1,2,2,4,1,2,1
1,2,2,3,1,1,2,2,4,1,2,1
2,1,1,2,9,1,2,2,4,1,2,4
2,1,2,3,1,1,2,3,4,1,2,4
1,5,5,2,1,1,2,2,4,2,2,4
2,1,2,4,1,1,2,2,4,1,2,1
2,1,1,5,1,1,2,2,4,1,2,1
2,2,2,4,1,1,2,2,4,1,2,1
1,3,2,4,1,1,2,2,4,1,2,4
2,3,2,2,1,1,2,2,4,2,2,1
2,2,1,3,8,1,1,2,4,1,2,4
1,1,2,2,1,1,2,1,4,1,2,4
3,1,2,5,1,1,2,2,4,1,2,1
2,2,2,4,1,1,2,2,4,1,2,1
1,1,2,4,1,1,2,2,4,1,2,1
1,3,7,2,1,1,2,2,4,1,2,1
3,1,2,4,1,1,2,2,4,1,2,1
2,3,2,2,1,1,2,2,4,1,2,1
1,1,2,3,1,1,2,2,4,1,2,1
1,1,1,2,9,1,2,2,4,1,2,4
2,1,2,2,1,1,2,2,4,1,2,4
1,2,1,2,9,1,1,2,4,1,3,8
1,1,2,4,1,1,2,2,4,1,2,1
1,2,3,2,1,1,2,2,4,1,2,4
1,2,1,2,9,1,1,2,4,1,2,4
2,1,2,2,1,1,2,2,4,1,2,1
1,6,2,2,9,1,2,2,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,4
2,1,2,3,1,1,2,2,4,1,2,1
1,2,2,3,1,1,2,2,4,1,2,1
3,1,2,3,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,1
2,2,2,4,1,1,2,3,4,1,2,4
2,1,2,2,9,1,2,3,4,1,2,4
1,3,2,2,1,1,2,1,4,1,2,1
3,2,1,4,1,1,2,2,4,1,2,4
1,1,1,2,1,1,1,1,4,1,2,1
1,3,2,3,1,1,2,2,4,1,2,1
1,1,2,2,1,1,2,3,4,1,2,4
3,2,2,3,1,1,2,2,4,1,3,8
2,1,2,2,1,1,2,2,4,1,2,1
2,1,2,3,1,1,2,2,4,1,2,1
1,3,1,2,1,1,2,2,4,1,2,1
2,1,2,3,1,1,2,2,4,1,2,4
2,1,2,6,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,4
3,2,2,4,1,1,1,2,4,1,2,1
1,1,1,2,8,1,1,2,4,1,2,4
1,3,2,2,1,1,2,2,4,1,2,1
1,3,2,4,1,1,2,2,4,1,2,4
2,1,2,2,1,1,2,2,4,1,2,1
2,2,2,3,1,1,2,2,4,1,2,1
1,3,2,3,1,1,2,2,4,1,2,4
0,4,7,2,1,1,2,1,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,1
1,3,7,4,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,4
1,2,2,1,1,1,2,1,4,1,2,1
1,2,1,2,1,1,2,2,4,1,2,4
2,1,2,5,1,1,2,2,4,1,2,4
3,1,2,4,1,1,2,2,4,1,2,4
1,2,7,5,6,1,2,3,4,1,2,4
1,2,2,3,1,1,2,4,4,1,2,4
2,1,1,2,9,1,2,2,4,1,2,1
1,2,2,2,9,1,2,2,4,2,2,4
2,2,2,6,1,1,2,2,4,1,2,4
1,3,1,2,1,1,2,2,4,2,2,1
1,3,2,4,1,1,2,2,4,1,2,4
1,3,7,4,1,1,2,2,4,1,2,4
1,3,2,4,1,1,2,2,4,1,2,4
1,1,2,5,1,1,2,2,4,1,2,1
2,1,1,2,9,1,2,2,4,1,2,1
1,2,2,1,1,1,2,4,4,1,2,4
1,2,2,4,1,1,2,2,4,1,2,4
2,2,2,4,1,1,2,2,4,1,2,1
1,2,2,5,1,1,2,2,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,1
2,3,2,3,1,1,2,2,4,1,2,1
1,3,2,3,1,1,2,3,4,1,2,4
0,2,1,4,1,1,2,1,4,1,2,1
2,1,2,2,1,1,2,3,4,1,2,1
1,2,2,2,1,1,2,2,4,1,2,1
2,2,2,5,1,1,2,2,4,1,2,4
1,1,2,2,9,1,2,2,4,1,2,4
1,3,5,2,1,1,2,2,4,1,2,1
2,1,2,2,1,1,2,2,4,1,2,4
3,1,2,5,1,1,2,2,4,1,2,4
2,1,2,5,1,1,2,2,4,1,2,1
2,3,2,2,1,1,2,2,4,1,2,4
2,1,2,2,1,1,2,2,4,1,2,4
0,4,3,1,6,1,2,3,4,1,2,4
2,3,2,3,1,1,2,2,4,1,2,1
2,2,2,2,1,1,2,2,4,1,2,4
3,1,4,5,1,1,2,2,4,1,2,4
1,1,2,4,1,1,2,2,4,1,2,1
1,3,2,4,1,1,2,1,4,1,2,1
1,2,2,4,1,1,2,2,4,1,2,4
2,2,2,2,1,1,2,2,4,1,2,4
2,1,2,4,1,1,2,2,4,1,2,4
2,1,2,4,1,1,2,2,4,1,2,4
1,1,1,2,8,1,1,2,4,1,2,4
2,1,2,3,1,1,2,3,4,1,2,1
3,2,1,4,1,1,2,2,4,1,2,1
2,1,2,5,1,1,2,2,4,1,2,1
2,4,1,2,1,1,2,3,4,1,2,4
2,1,2,4,1,1,2,3,4,1,3,8
3,1,2,5,2,1,2,2,4,2,2,4
2,1,2,2,1,1,2,3,4,2,2,1
0,3,7,5,1,1,2,2,4,1,2,4
1,2,2,4,1,1,2,2,4,1,2,1
2,2,2,4,1,1,2,2,4,1,2,4
1,3,2,5,1,1,2,2,4,1,2,1
2,2,2,6,2,1,2,2,4,2,2,4
2,1,2,2,1,1,2,2,4,1,2,1
2,2,2,2,1,1,2,2,4,1,2,4
0,3,3,2,7,1,2,1,4,1,2,4
1,2,2,3,1,1,2,1,4,2,2,1
2,2,2,2,1,1,2,1,4,2,2,1
2,2,2,2,1,1,2,2,4,1,2,1
2,1,2,3,1,1,2,2,4,1,2,4
2,1,2,2,1,1,2,2,4,2,2,1
2,1,2,4,1,1,2,2,4,1,2,4
1,1,3,1,1,1,2,2,4,1,2,4
2,2,2,2,1,1,2,2,4,1,2,4
3,1,1,2,9,1,2,2,4,1,2,4
1,2,2,2,1,1,2,4,4,1,2,1
1,4,2,1,1,1,2,1,4,1,2,1
2,1,2,4,1,1,2,2,4,1,2,1
1,2,2,4,1,1,2,3,4,1,2,4
2,2,1,3,1,1,2,1,4,1,2,4
3,1,2,5,2,1,2,3,4,2,2,1
1,1,2,3,1,1,2,1,4,2,2,1
1,2,2,4,1,1,2,2,4,1,2,1
0,3,7,1,1,1,2,1,4,1,2,4
2,1,2,4,1,1,2,2,4,1,2,1
1,1,2,2,1,1,2,2,4,1,2,4
1,1,2,3,6,1,2,3,4,1,2,4
1,2,1,3,9,1,1,2,4,1,2,4
1,2,2,3,6,1,2,2,4,1,2,1
1,2,1,2,9,1,2,2,4,1,2,1
3,1,2,3,1,1,2,1,4,1,2,1
2,1,2,4,1,1,2,2,4,1,2,1
2,2,2,2,1,1,2,1,5,1,2,4
2,2,2,4,1,1,2,2,5,1,2,1
2,1,2,7,1,1,2,2,5,1,2,4
2,2,2,3,1,1,2,2,5,1,2,4
3,1,2,1,1,1,2,1,5,2,2,4
1,1,1,2,1,1,2,2,5,1,2,1
2,2,2,2,6,1,2,2,5,1,2,1
3,3,2,4,1,1,2,3,5,1,2,4
1,1,2,5,1,1,2,2,5,1,2,4
2,2,1,4,1,1,2,2,5,1,2,4
1,2,2,3,1,1,2,1,5,1,2,1
3,2,1,3,6,1,2,2,5,1,2,4
1,2,1,3,3,1,2,2,5,1,2,3
2,1,2,4,1,1,2,1,5,1,2,4
0,6,4,3,1,1,2,2,5,2,2,4
2,2,2,2,1,1,2,3,5,1,2,4
0,4,7,2,1,1,2,1,5,1,2,4
2,2,2,3,1,1,2,2,5,1,2,1
3,1,2,6,2,1,1,2,5,1,2,4
2,1,2,5,1,1,2,2,5,1,2,4
1,2,2,4,1,1,2,2,5,1,2,1
2,1,1,2,1,1,1,2,5,1,2,4
2,2,2,4,1,1,2,2,5,1,2,1
1,1,2,4,1,1,2,2,5,1,2,4
1,2,2,2,1,1,2,2,5,1,2,4
1,1,1,6,1,1,2,3,5,1,2,4
1,1,1,1,9,1,1,5,5,1,2,1
2,3,2,6,1,1,2,2,5,1,2,1
2,2,2,4,1,1,2,2,5,1,2,4
1,2,2,4,1,1,2,2,5,1,2,4
1,4,2,1,1,1,1,1,5,1,2,4
1,2,2,2,1,1,2,2,5,1,2,1
1,4,2,1,1,1,2,1,5,1,2,1
2,3,2,2,1,1,2,2,5,1,2,4
3,1,2,3,3,1,2,3,5,1,2,3
2,3,2,2,1,1,2,2,5,1,2,4
3,1,2,2,9,1,2,2,5,1,2,1
1,2,1,2,1,1,2,2,5,1,2,4
1,2,2,2,1,1,2,2,5,1,2,4
2,1,1,2,1,1,2,2,5,1,2,1
2,2,2,4,4,1,2,2,5,1,2,7
2,2,2,4,1,1,2,2,5,1,2,1
1,1,1,4,1,1,2,2,5,1,2,4
1,2,2,4,1,1,2,2,5,1,2,4
2,2,2,3,1,1,2,2,5,1,2,4
1,3,2,4,1,1,2,2,5,1,2,4
3,1,2,3,1,1,2,2,5,1,2,4
1,2,2,2,9,1,1,2,5,1,2,4
3,1,2,3,1,1,2,2,5,1,2,4
2,2,2,3,1,1,2,2,5,1,2,1
2,2,2,4,1,1,2,2,5,1,2,4
2,1,2,2,1,1,2,1,5,2,2,4
3,2,1,3,1,1,2,2,5,1,2,4
1,2,2,2,1,1,2,2,5,1,2,4
2,1,2,3,1,1,2,3,5,1,2,1
2,1,2,5,1,1,2,2,5,1,2,4
1,2,2,1,1,1,2,1,5,1,2,4
1,1,2,2,1,1,2,3,5,1,2,1
2,1,2,3,1,1,2,2,5,1,2,4
2,2,2,3,1,1,2,5,5,1,2,4
3,2,2,4,1,1,1,2,5,1,2,4
2,2,1,3,1,1,2,2,5,1,2,1
3,3,2,4,1,1,2,2,5,1,2,4
1,3,7,3,1,1,2,2,5,1,2,4
2,2,3,3,1,1,2,2,5,1,2,4
2,2,2,4,1,1,2,2,5,1,2,4
1,2,1,3,9,1,2,2,5,1,2,4
3,1,2,6,1,1,2,2,5,1,2,4
2,1,2,4,4,1,2,2,5,1,2,7
2,1,2,2,1,1,2,2,5,1,2,1
1,3,2,1,1,1,2,4,5,1,2,4
3,1,2,3,1,1,2,2,5,1,2,4
2,1,2,3,1,1,2,2,5,2,2,4
2,2,2,5,1,1,2,2,5,1,2,1
2,1,1,3,1,1,2,2,5,1,2,1
2,3,2,3,1,1,2,4,5,1,2,4
2,2,1,4,1,1,2,3,5,1,2,1
1,1,2,2,1,1,2,2,5,1,2,4
2,1,2,4,1,1,2,2,5,1,2,4
3,2,2,5,1,1,2,1,5,1,2,4
1,2,1,2,8,1,1,2,6,1,3,9
1,3,2,4,1,1,2,2,6,1,3,9
2,3,2,3,8,1,1,2,6,1,3,9
1,2,2,3,1,1,2,3,6,1,3,9
2,3,2,3,1,1,2,2,6,1,3,9
2,3,2,4,1,1,2,2,6,1,3,9
1,3,2,4,9,1,1,2,6,1,3,9
2,2,2,2,1,1,2,3,6,1,3,9
0,5,3,5,7,1,2,1,6,1,3,9
1,3,1,2,1,1,1,2,6,1,3,9
1,1,2,2,1,1,2,2,6,1,3,9
1,2,2,2,1,1,2,2,6,1,3,9
1,2,2,3,1,1,2,2,7,1,2,4
1,14,1,2,9,1,2,2,7,1,2,4
2,1,2,4,1,1,2,2,7,1,2,1
1,2,2,5,1,1,2,2,7,1,2,1
2,1,2,3,1,1,2,2,7,1,2,4
1,3,2,4,1,1,2,1,7,1,2,4
2,1,1,2,6,1,2,2,7,1,2,1
0,4,2,1,1,1,2,4,7,2,2,4
1,2,2,2,1,1,2,2,7,1,2,4
1,1,2,2,1,1,2,2,7,1,2,4
2,2,2,5,1,1,2,2,7,1,2,1
1,2,1,1,1,1,2,1,7,1,2,1
1,2,1,2,9,1,2,2,7,1,2,4
2,1,2,3,9,1,2,2,7,1,2,1
2,1,2,2,1,1,2,2,7,1,2,1
2,1,2,4,1,1,2,2,7,1,2,4
2,1,1,2,9,1,2,2,7,2,2,4
2,3,2,2,1,1,2,2,8,1,2,1
1,3,2,5,1,1,2,2,8,1,2,4
2,2,2,5,1,1,2,2,8,1,2,1
1,1,2,1,1,1,2,2,8,1,2,1
0,2,2,2,6,1,2,1,8,1,2,4
2,2,2,5,6,1,2,1,8,2,2,4
2,1,2,4,1,1,2,2,8,1,2,4
2,1,2,4,1,1,2,2,8,1,2,1
2,1,2,3,1,1,2,2,8,1,2,4
1,1,2,4,1,1,2,2,8,1,2,1
2,1,2,4,1,6,2,2,8,1,2,4
1,2,2,2,1,1,2,4,8,2,2,4
2,1,2,2,1,1,2,2,8,1,2,1
2,1,1,2,9,1,2,2,8,1,2,4
2,1,1,2,1,1,2,2,8,2,2,1
3,2,2,2,1,1,2,2,8,2,2,4
2,1,2,2,1,1,2,2,8,1,2,1
2,1,2,5,1,1,2,2,8,1,2,1
2,2,2,3,1,1,2,2,8,1,2,4
2,2,2,4,1,1,2,2,8,1,2,4
1,2,2,2,1,1,2,1,8,1,2,1
2,1,2,8,1,1,2,4,8,2,2,4
1,1,2,1,1,1,2,1,8,2,2,4
2,6,2,2,1,1,2,1,8,2,2,1
2,1,2,4,1,1,2,2,8,1,2,4
0,4,3,4,7,1,2,1,9,2,2,4
1,1,2,4,1,1,2,3,9,1,2,4
1,5,2,3,1,1,2,2,9,1,2,4
2,2,2,3,1,1,2,2,9,1,2,4
1,3,2,3,1,1,2,2,9,2,2,4
1,3,1,2,9,1,2,2,9,1,2,1
0,2,1,2,1,1,2,3,9,2,2,1
2,2,2,2,1,1,2,2,9,1,2,4
2,2,2,5,1,1,2,3,9,2,2,1
2,1,2,2,1,1,2,2,9,1,2,1
2,3,2,11,1,5,2,2,9,1,2,4
1,6,4,1,1,1,2,1,9,2,2,1
1,2,2,4,2,1,2,1,9,2,2,4
1,3,2,2,1,1,2,1,9,2,2,1
1,2,2,3,4,1,2,3,9,1,2,7
3,1,2,5,4,1,2,1,9,1,2,7
1,3,2,4,1,1,2,2,9,2,2,1
1,2,2,3,1,1,2,1,9,1,2,4
1,3,2,3,1,1,2,2,9,1,2,1
1,3,2,3,1,1,2,2,9,1,2,4
2,2,2,2,1,1,2,3,9,1,2,1
1,1,1,3,1,1,2,2,9,1,2,4
1,2,2,3,1,1,2,3,9,1,2,4
2,2,2,2,1,1,2,1,9,1,2,4
2,2,2,5,1,1,2,2,9,1,2,4
2,3,2,3,1,1,2,2,9,1,2,4
2,3,2,3,1,1,2,1,9,2,2,1
1,1,1,3,8,1,1,2,9,1,2,4
1,3,2,4,2,1,2,2,9,2,2,4
1,4,3,5,1,1,2,3,9,1,2,4
1,1,2,2,1,1,1,4,9,1,2,1
0,3,7,3,10,1,2,1,9,2,2,4
1,2,1,2,9,1,2,2,9,1,2,4
2,1,2,4,1,1,2,2,9,1,2,4
1,2,2,4,1,1,2,2,9,1,2,1
1,3,2,3,1,1,2,1,9,2,2,4
1,1,2,4,1,1,2,2,9,1,2,4
2,2,2,3,1,1,2,2,9,1,2,1
3,3,2,2,1,1,2,2,9,2,2,4
1,2,2,2,1,1,2,2,9,1,2,1
2,3,2,3,1,1,2,1,9,1,2,4
1,3,2,4,1,1,2,2,9,1,2,4
2,1,2,5,1,1,2,2,9,1,2,4
1,2,1,2,9,1,1,2,9,1,2,4
2,1,1,4,1,1,2,2,9,1,2,4
1,3,2,4,10,3,2,2,9,2,2,4
1,1,2,3,1,1,2,3,9,1,2,4
2,1,4,4,1,1,2,2,9,1,2,4
2,2,2,2,1,1,2,2,9,1,2,1
2,1,2,2,1,1,2,3,9,1,2,4
2,1,2,2,1,1,2,3,9,2,2,4
2,3,2,11,1,5,2,2,9,1,2,4
3,1,2,4,1,1,2,2,9,1,2,1
0,3,2,5,1,1,2,2,9,1,2,1
1,2,2,3,1,1,2,3,9,1,2,4
1,3,7,4,2,1,2,2,9,2,2,4
2,6,2,2,1,1,2,4,9,1,2,4
1,2,2,2,6,1,2,2,9,1,2,4
1,1,3,3,6,1,1,3,9,1,2,1
0,2,2,1,1,1,2,3,9,2,2,4
1,2,1,3,1,1,2,1,9,1,2,1
2,1,2,3,1,1,2,2,9,1,2,1
1,3,2,2,1,1,2,1,9,1,2,1
2,2,2,4,1,1,2,3,9,1,2,4
2,3,2,2,6,1,2,1,9,2,2,4
1,1,2,1,1,1,2,4,9,1,2,1
2,1,2,3,1,1,2,2,9,1,2,4
1,1,1,2,10,1,2,2,9,2,2,4
2,2,2,4,1,1,2,2,9,2,2,4
1,2,2,2,1,1,2,2,9,1,2,1
2,1,2,4,1,1,2,2,9,1,2,4
1,2,7,2,1,1,2,1,9,1,2,1
1,3,7,2,10,1,2,2,9,1,2,1
0,3,2,2,1,1,1,1,9,2,2,1
1,1,1,2,9,1,2,2,9,1,2,4
2,3,2,3,1,1,2,2,9,1,2,4
1,3,1,4,1,1,2,2,9,1,2,1
2,2,2,3,1,1,2,2,9,1,2,1
1,2,7,2,9,1,2,2,9,1,2,4
1,3,2,6,1,1,2,3,9,1,2,4
0,4,2,4,1,1,2,1,9,1,2,1
2,1,2,4,1,1,2,2,9,1,2,4
2,3,1,3,1,1,2,2,9,2,2,1
1,3,2,1,1,1,2,1,9,1,2,4
2,1,2,5,4,1,2,3,9,2,2,7
3,1,2,4,1,1,2,2,9,1,2,4
1,4,2,1,1,1,1,1,9,1,2,1
2,3,2,3,10,1,2,2,9,2,2,4
3,2,1,4,1,1,2,2,9,1,2,1
1,1,2,4,2,1,2,2,9,2,2,4
0,3,2,3,9,8,2,2,9,1,2,4
2,1,2,5,1,1,2,2,9,1,2,4
2,2,2,4,1,1,2,2,9,1,2,4
1,1,2,4,1,3,2,2,9,1,2,4
2,1,2,3,9,1,2,2,9,1,2,1
1,3,2,4,1,1,2,2,9,1,2,1
2,2,1,4,1,1,2,1,9,1,2,4
2,1,2,2,4,1,2,3,9,1,2,7
1,3,2,1,1,1,2,4,9,2,2,1
1,3,2,2,1,1,2,2,9,2,2,4
2,1,2,4,1,1,2,2,9,1,2,4
2,1,2,3,4,1,2,3,9,1,2,7
2,2,2,4,1,1,2,2,9,1,2,4
1,2,2,5,1,1,2,2,9,1,2,4
1,1,1,2,1,1,2,2,10,1,2,1
3,2,2,3,1,1,2,2,10,1,2,4
3,1,2,3,1,1,2,2,10,1,2,1
2,1,2,6,1,1,2,2,10,1,2,1
2,1,2,4,1,1,2,2,10,1,2,1
2,1,2,4,1,1,2,2,10,1,2,1
2,1,2,2,2,1,2,2,11,1,2,1
1,2,2,4,1,1,2,2,11,1,2,1
1,2,2,2,1,1,2,2,11,1,2,1
2,1,2,2,6,1,2,1,11,1,2,4
1,2,2,4,1,1,2,2,11,1,2,4
2,3,2,2,6,1,2,1,11,2,2,4
2,1,2,4,1,1,2,2,11,2,2,4
2,1,2,3,1,1,2,2,12,1,2,4
2,3,2,3,1,1,2,2,12,2,2,1
0,3,7,4,8,1,1,4,12,2,2,1
